"cell","cell_index","arm","endpoint","delta","R","truth","n","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","rel_bias","n_fitted","workflow","support"
"d4.0_t2.0_R73.0_s8.1",12,"F","NSEC",4,73,1.3,200,-0.69610830892934,0.0144209515506276,0.72522519443408,0.0110973438643155,0.545,0.0352118587978539,-0.535467929945646,10.92,"averaged","common"
"d4.0_t2.0_R2.3_s8.1",8,"A","ErC10",4,2.3,2.01968716248917,200,-0.227764528675729,0.0331745837688991,0.52046779839158,0.0247682829967821,1,0,-0.112772182200247,6.88,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"A","ErC10",8,2.3,1.69802987177516,200,-0.0342800538518209,0.0122406240069633,0.176045063639891,0.0109909729957236,1,0,-0.0201881335668046,6.885,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"A","ErC10",4,73,2.01968716248917,200,0.0239962542932082,0.00380042984158243,0.0587369589720269,0.00321641960251284,0.995,0.004987484335815,0.0118811738465644,7.485,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"B3","ErC10",4,2.3,2.01968716248917,200,-0.0909701870111227,0.0259761455552411,0.37756170670282,0.0182678359452609,0.965,0.012995191418367,-0.0450417216590149,5.34,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"B3","ErC10",8,2.3,1.69802987177516,200,0.0143854389559984,0.0140618359098473,0.198887534692086,0.010164682522137,0.98,0.00989949493661167,0.00847184092289235,5.515,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"B3","ErC10",4,73,2.01968716248917,200,-0.0556848311321185,0.00722247603101671,0.116109725096204,0.00515203668619599,0.995,0.004987484335815,-0.0275710180102792,5.895,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"C","ErC10",4,2.3,2.01968716248917,200,-0.118994991287239,0.028306481552692,0.416665250089489,0.0222401169153946,0.995,0.004987484335815,-0.058917536090383,6.33,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"C","ErC10",8,2.3,1.69802987177516,200,-0.000535714400662153,0.0112818848880748,0.159151473096686,0.00880286954564664,0.99,0.00703562363973515,-0.000315491741085865,6.475,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"C","ErC10",4,73,2.01968716248917,200,0.0087352222616598,0.00387577992044529,0.0553680091416898,0.00371086903651055,0.975,0.0110397010829098,0.00432503727502731,7.585,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"E","ErC10",4,2.3,2.01968716248917,200,0.0719066457619477,0.0251163552238903,0.361532839935088,0.0323769296782963,0.985,0.00859505671883555,0.0356028632044808,11.54,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"E","ErC10",8,2.3,1.69802987177516,200,0.016748641881731,0.0170826619968537,0.241561933763857,0.0148546253176045,0.965,0.012995191418367,0.00986357316801597,11.325,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"E","ErC10",4,73,2.01968716248917,200,0.205325062158969,0.00491020680863249,0.21669401745408,0.00467018878010014,0.545,0.0352118587978539,0.101661814746555,11.845,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"F","ErC10",4,2.3,2.01968716248917,200,-0.196271308028806,0.04845514368935,0.711164337826704,0.0444797686001713,0.995,0.004987484335815,-0.0971790640026207,10.835,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"F","ErC10",8,2.3,1.69802987177516,200,-0.180798635247243,0.0293527008318883,0.451821618214984,0.0369120021750341,0.985,0.00859505671883555,-0.106475532764469,10.695,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"F","ErC10",4,73,2.01968716248917,200,-0.478877873922115,0.00632566285627944,0.487120935944922,0.0057623594566845,0.5,0.0353553390593274,-0.237104974877357,10.92,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"A","ErC50",4,2.3,5.0532895646328,200,0.0299752228695059,0.0230659189212314,0.326762605734744,0.0152841093098665,0.975,0.0110397010829098,0.00593182371326944,6.88,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"A","ErC50",8,2.3,3.33617149040127,200,0.0415599471691157,0.0106976605933211,0.156527242678419,0.00918848436865791,0.935,0.0174320107847603,0.0124573773526603,6.885,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"A","ErC50",4,73,5.0532895646328,200,-0.0102121614802381,0.00494734980687989,0.0705341477180644,0.00394178493744115,0.895,0.0216766002869454,-0.00202089378604215,7.485,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"B3","ErC50",4,2.3,5.0532895646328,200,-0.168464439092233,0.0253080025543955,0.394764196583259,0.0174698009058194,0.8,0.0282842712474619,-0.0333375788063463,5.34,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"B3","ErC50",8,2.3,3.33617149040127,200,-0.110426975880036,0.0126821765694144,0.210239862792557,0.00985762796123337,0.8,0.0282842712474619,-0.0330999099410068,5.515,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"B3","ErC50",4,73,5.0532895646328,200,-0.153018424854242,0.00601000508261057,0.174935846533468,0.00550969596721756,0.585,0.0348407089480108,-0.0302809532082219,5.895,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"C","ErC50",4,2.3,5.0532895646328,200,0.0319175360371575,0.0268076468990887,0.379512932095418,0.0188086374293856,0.88,0.0229782505861521,0.00631618980644676,6.33,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"C","ErC50",8,2.3,3.33617149040127,200,0.00460055257480908,0.01229118614396,0.173449540766942,0.0087427497840437,0.885,0.0225582579114612,0.00137899163398694,6.475,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"C","ErC50",4,73,5.0532895646328,200,-0.00854732162225095,0.00564832346859829,0.080136538171373,0.00396897833709284,0.97,0.0120623380818148,-0.0016914371347473,7.585,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"E","ErC50",4,2.3,5.0532895646328,200,-0.254018709572125,0.0242554741926487,0.426148779707776,0.0178552716278433,0.875,0.0233853586673371,-0.0502679900534423,11.54,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"E","ErC50",8,2.3,3.33617149040127,200,-0.163131896944631,0.0120788049062972,0.23589324675723,0.0101672927090622,0.865,0.0241635055403805,-0.0488979350773752,11.325,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"E","ErC50",4,73,5.0532895646328,200,-0.279130044096764,0.0065589582232856,0.294065550820642,0.00589401626157797,0.655,0.0336136133136561,-0.0552372945438062,11.845,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"F","ErC50",4,2.3,5.0532895646328,200,0.0759895467222046,0.0434129550165962,0.617111545186423,0.0344210359294856,0.93,0.0180416185526687,0.015037639492113,10.835,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"F","ErC50",8,2.3,3.33617149040127,200,0.0799207760565893,0.0198132559135666,0.290702231355192,0.0186023996153816,0.885,0.0225582579114612,0.0239558356896625,10.695,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"F","ErC50",4,73,5.0532895646328,200,0.0432939417334026,0.0069744175601882,0.107490571452959,0.00577067486590031,0.95,0.0154110350074224,0.00856747692362818,10.92,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"A","NSEC",4,2.3,1.3,200,0.208069630809092,0.031905842252307,0.495854356097658,0.0179881333758554,1,0,0.16005356216084,6.88,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"A","NSEC",8,2.3,1.3,200,0.115084638314694,0.0154145284838011,0.246025210015619,0.0115251677819013,0.99,0.00703562363973515,0.0885266448574568,6.885,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"A","NSEC",4,73,1.3,200,0.0872439631535498,0.00558761498571113,0.117577956740276,0.00479938868426256,0.975,0.0110397010829098,0.067110740887346,7.485,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"B3","NSEC",4,2.3,1.3,200,-0.0215942029331567,0.0299486246890533,0.423028856737584,0.0258347190603555,0.98,0.00989949493661167,-0.0166109253331975,5.34,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"B3","NSEC",8,2.3,1.3,200,-0.0775842121371297,0.0208491737008656,0.304174671415461,0.0127271604710086,0.985,0.00859505671883555,-0.0596801631824074,5.515,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"B3","NSEC",4,73,1.3,200,-0.815032016160864,0.00851231890402237,0.823830469464971,0.00820323559554213,0.015,0.00859505671883554,-0.626947704739126,5.895,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"C","NSEC",4,2.3,1.3,200,0.161972585764325,0.0299551348533991,0.452548151307859,0.0167133279272515,0.985,0.00859505671883555,0.124594296741788,6.33,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"C","NSEC",8,2.3,1.3,200,0.101178401084467,0.0147667411866766,0.23158225591697,0.0107926311150469,0.995,0.004987484335815,0.0778295392957437,6.475,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"C","NSEC",4,73,1.3,200,0.0381892855045839,0.00575491069421643,0.0897167874476875,0.00788584261373813,0.995,0.004987484335815,0.0293763734650645,7.585,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"E","NSEC",4,2.3,1.3,200,0.231330834171479,0.0307989577453337,0.492220010442529,0.0428807603070016,0.99,0.00703562363973515,0.177946795516522,11.54,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"E","NSEC",8,2.3,1.3,200,0.0151338796030444,0.0227647769781328,0.321493100102942,0.0183630305740136,0.965,0.012995191418367,0.0116414458484957,11.325,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"E","NSEC",4,73,1.3,200,-0.547571024332026,0.0104970739326191,0.567240293311619,0.0104419574920367,0.295,0.0322470928922283,-0.421208480255404,11.845,"averaged","available"
"d4.0_t2.0_R2.3_s8.1",8,"F","NSEC",4,2.3,1.3,200,1.06808890443284,0.0490280678843585,1.27246235481711,0.0619870408217666,0.945,0.0161206389451535,0.82160684956372,10.835,"averaged","available"
"d8.0_t2.0_R2.3_s8.1",9,"F","NSEC",8,2.3,1.3,200,0.226370648496057,0.0345690806988703,0.537636417324163,0.047501536195844,0.98,0.00989949493661167,0.17413126807389,10.695,"averaged","available"
"d4.0_t2.0_R73.0_s8.1",12,"F","NSEC",4,73,1.3,200,-0.69610830892934,0.0144209515506276,0.72522519443408,0.0110973438643155,0.545,0.0352118587978539,-0.535467929945646,10.92,"averaged","available"
